time_of_day_hour,passenger_count
5,9385.481861856
6,25504.958195631
7,63827.105972932004
8,50181.671237713
9,27419.82808263
10,13330.895241211
11,29239.849443778003
12,26692.351191723
13,28466.415506692
14,34691.936136789
15,38261.559397184
16,47725.37923825
17,66878.938417209
18,37782.467337974
19,13226.964009923
20,10782.074717743
21,14106.556576742
22,7946.112755406
23,4036.996833819
