stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year,train_line_name
19905,Hawthorn,-37.82182601,145.0228987,1900,553450,FY19-20,"Alamein, Belgrave, Lilydale"
19906,Burnley,-37.82756022,145.0075551,2150,633700,FY19-20,"Alamein, Belgrave, Lilydale, Glen Waverley"
19907,East Richmond,-37.82639995,144.9970657,1850,506300,FY19-20,"Alamein, Belgrave, Lilydale, Glen Waverley"
19909,Heyington,-37.83467244,145.0226353,600,163100,FY19-20,Glen Waverley
19910,Kooyong,-37.83992894,145.0335516,900,263150,FY19-20,Glen Waverley
19911,Tooronga,-37.84936553,145.0417337,1600,456150,FY19-20,Glen Waverley
19912,Gardiner,-37.85327908,145.0516547,1300,389800,FY19-20,Glen Waverley
19913,Springvale,-37.94950878,145.1534518,4000,1295050,FY19-20,"Cranbourne, Pakenham"
19914,Westall,-37.93849121,145.1388326,1950,676550,FY19-20,"Cranbourne, Pakenham"
19915,Clayton,-37.92468255,145.1205344,4450,1388700,FY19-20,"Cranbourne, Pakenham"
19916,Huntingdale,-37.91101734,145.1023643,4100,1151750,FY19-20,"Cranbourne, Pakenham"
19917,Oakleigh,-37.90037214,145.0883079,3950,1215300,FY19-20,"Cranbourne, Pakenham"
19918,Hughesdale,-37.89488129,145.0776351,1650,501050,FY19-20,"Cranbourne, Pakenham"
19919,Murrumbeena,-37.89019832,145.0673749,2100,625600,FY19-20,"Cranbourne, Pakenham"
19920,Carnegie,-37.88624148,145.0585751,2750,833000,FY19-20,"Cranbourne, Pakenham"
19921,Werribee,-37.89937805,144.661118,3650,1061600,FY19-20,Werribee
19922,Hoppers Crossing,-37.88327618,144.7009549,3750,1079900,FY19-20,Werribee
19923,Laverton,-37.86369404,144.7726167,3250,944750,FY19-20,Werribee
19924,Aircraft,-37.86660595,144.7608094,850,248950,FY19-20,Werribee
19925,Westona,-37.86516348,144.8134936,750,212000,FY19-20,Werribee
19926,Altona,-37.8671476,144.8296447,850,261900,FY19-20,Werribee
19927,Seaholme,-37.86784231,144.8409577,300,89300,FY19-20,Werribee
19928,Westgarth,-37.7806207,144.9992332,750,227000,FY19-20,Hurstbridge
19929,Dennis,-37.77918729,145.0082416,1050,305550,FY19-20,Hurstbridge
19930,Fairfield,-37.77917126,145.0169053,1650,509000,FY19-20,Hurstbridge
19931,Alphington,-37.77839363,145.0312549,800,239400,FY19-20,Hurstbridge
19932,Darebin,-37.77496341,145.038476,400,118850,FY19-20,Hurstbridge
19933,Ivanhoe,-37.76889674,145.0454252,2050,604100,FY19-20,Hurstbridge
19934,Eaglemont,-37.76358553,145.0539427,450,128000,FY19-20,Hurstbridge
19935,Heidelberg,-37.75707293,145.0606855,2200,647000,FY19-20,Hurstbridge
19936,Rosanna,-37.7428786,145.0661403,1850,552500,FY19-20,Hurstbridge
19937,Moorabbin,-37.93435329,145.0367383,2050,671250,FY19-20,Frankston
19938,Patterson,-37.92514919,145.03547,850,249700,FY19-20,Frankston
19939,Bentleigh,-37.91742457,145.0369951,1650,515100,FY19-20,Frankston
19940,Mckinnon,-37.91030903,145.038299,1100,324500,FY19-20,"Frankston, Frankston"
19941,Ormond,-37.90321167,145.0396134,1750,528350,FY19-20,Frankston
19942,Glenhuntly,-37.88971946,145.0422229,2150,660200,FY19-20,Frankston
19943,Caulfield,-37.87745946,145.0425248,9050,2853200,FY19-20,"Frankston, Cranbourne, Pakenham"
19944,Malvern,-37.8662533,145.0292939,1900,586650,FY19-20,"Frankston, Cranbourne, Pakenham"
19945,Armadale,-37.85645238,145.0193255,1350,414400,FY19-20,"Frankston, Cranbourne, Pakenham"
19946,Toorak,-37.85077381,145.0139086,1250,370450,FY19-20,"Frankston, Cranbourne, Pakenham"
19947,Hawksburn,-37.84459087,145.0021421,1200,369550,FY19-20,"Frankston, Cranbourne, Pakenham"
19948,Sandringham,-37.95033018,145.0045614,2600,813600,FY19-20,Sandringham
19949,Hampton,-37.93797681,145.0014706,1650,501150,FY19-20,Sandringham
19950,Brighton Beach,-37.92648432,144.9891536,1100,345550,FY19-20,Sandringham
19951,Middle Brighton,-37.91513441,144.9962991,1750,567700,FY19-20,Sandringham
19952,North Brighton,-37.90488721,145.002605,1850,554050,FY19-20,Sandringham
19953,Gardenvale,-37.89669508,145.0041684,1400,421550,FY19-20,Sandringham
19954,Elsternwick,-37.88475311,145.0008979,2600,797150,FY19-20,Sandringham
19955,Ripponlea,-37.87590643,144.9952366,1800,531200,FY19-20,Sandringham
19956,Balaclava,-37.86948773,144.9935121,3050,923000,FY19-20,Sandringham
