stop_id,station_name,station_latitude,station_longitude,annual_passenger_count_2019,annual_passenger_count_2024,annual_change,annual_change_pct
19899,Nunawading,-37.82060317,145.1748917,888900,758050,-130850,-0.14720440994487569
19900,Mitcham,-37.81800987,145.1919735,945050,925550,-19500,-0.020633828897941908
19901,Heatherdale,-37.81889537,145.2127872,471200,448700,-22500,-0.04775042444821732
19902,Ringwood,-37.81588648,145.2289685,1475200,1514250,39050,0.02647098698481562
19903,Auburn,-37.82239831,145.0458437,584350,650000,65650,0.11234705228031146
19904,Glenferrie,-37.82146682,145.0364388,1949900,1978650,28750,0.014744345863890456
19905,Hawthorn,-37.82182601,145.0228987,553450,531400,-22050,-0.039840997380070464
19906,Burnley,-37.82756022,145.0075551,633700,881250,247550,0.3906422597443585
19907,East Richmond,-37.82639995,144.9970657,506300,575900,69600,0.13746790440450327
19909,Heyington,-37.83467244,145.0226353,163100,189500,26400,0.1618638871857756
19910,Kooyong,-37.83992894,145.0335516,263150,233000,-30150,-0.1145734372031161
19911,Tooronga,-37.84936553,145.0417337,456150,453150,-3000,-0.006576783952647156
19912,Gardiner,-37.85327908,145.0516547,389800,399400,9600,0.024628014366341714
19913,Springvale,-37.94950878,145.1534518,1295050,1429400,134350,0.10374116829466044
19914,Westall,-37.93849121,145.1388326,676550,634250,-42300,-0.0625230951149213
19915,Clayton,-37.92468255,145.1205344,1388700,1514000,125300,0.0902282710448621
19916,Huntingdale,-37.91101734,145.1023643,1151750,1590050,438300,0.38055133492511395
19917,Oakleigh,-37.90037214,145.0883079,1215300,1624200,408900,0.33646013330041963
19918,Hughesdale,-37.89488129,145.0776351,501050,555350,54300,0.10837241792236303
19919,Murrumbeena,-37.89019832,145.0673749,625600,712400,86800,0.1387468030690537
19920,Carnegie,-37.88624148,145.0585751,833000,1015400,182400,0.21896758703481392
19921,Werribee,-37.89937805,144.661118,1061600,1049600,-12000,-0.011303692539562924
19922,Hoppers Crossing,-37.88327618,144.7009549,1079900,925850,-154050,-0.14265209741642745
19923,Laverton,-37.86369404,144.7726167,944750,892250,-52500,-0.055570256681661816
19924,Aircraft,-37.86660595,144.7608094,248950,248850,-100,-0.0004016870857601928
19925,Westona,-37.86516348,144.8134936,212000,229400,17400,0.0820754716981132
19926,Altona,-37.8671476,144.8296447,261900,263300,1400,0.005345551737304314
19927,Seaholme,-37.86784231,144.8409577,89300,93100,3800,0.0425531914893617
19928,Westgarth,-37.7806207,144.9992332,227000,201950,-25050,-0.11035242290748899
19929,Dennis,-37.77918729,145.0082416,305550,260800,-44750,-0.14645720831287842
19930,Fairfield,-37.77917126,145.0169053,509000,437700,-71300,-0.14007858546168958
19931,Alphington,-37.77839363,145.0312549,239400,249100,9700,0.04051796157059315
19932,Darebin,-37.77496341,145.038476,118850,112450,-6400,-0.05384938998737905
19933,Ivanhoe,-37.76889674,145.0454252,604100,617600,13500,0.02234729349445456
19934,Eaglemont,-37.76358553,145.0539427,128000,126500,-1500,-0.01171875
19935,Heidelberg,-37.75707293,145.0606855,647000,822300,175300,0.27094281298299844
19936,Rosanna,-37.7428786,145.0661403,552500,432900,-119600,-0.2164705882352941
19937,Moorabbin,-37.93435329,145.0367383,671250,520000,-151250,-0.22532588454376165
19938,Patterson,-37.92514919,145.03547,249700,287550,37850,0.15158189827793353
19939,Bentleigh,-37.91742457,145.0369951,515100,586000,70900,0.1376431760823141
19940,Mckinnon,-37.91030903,145.038299,324500,369950,45450,0.14006163328197227
19941,Ormond,-37.90321167,145.0396134,528350,539450,11100,0.021008800984196083
19942,Glenhuntly,-37.88971946,145.0422229,660200,641550,-18650,-0.028249015449863676
19943,Caulfield,-37.87745946,145.0425248,2853200,3205100,351900,0.1233352025795598
19944,Malvern,-37.8662533,145.0292939,586650,703650,117000,0.19943748401943237
19945,Armadale,-37.85645238,145.0193255,414400,469600,55200,0.13320463320463322
19946,Toorak,-37.85077381,145.0139086,370450,417900,47450,0.12808746119584288
19947,Hawksburn,-37.84459087,145.0021421,369550,447000,77450,0.2095792179677987
19948,Sandringham,-37.95033018,145.0045614,813600,710850,-102750,-0.1262905604719764
19949,Hampton,-37.93797681,145.0014706,501150,482700,-18450,-0.036815324753067945
19950,Brighton Beach,-37.92648432,144.9891536,345550,332650,-12900,-0.03733178990015917
19951,Middle Brighton,-37.91513441,144.9962991,567700,512250,-55450,-0.09767482825435969
19952,North Brighton,-37.90488721,145.002605,554050,502000,-52050,-0.09394458983846224
19953,Gardenvale,-37.89669508,145.0041684,421550,380050,-41500,-0.09844621041394852
19954,Elsternwick,-37.88475311,145.0008979,797150,763550,-33600,-0.04215015994480336
19955,Ripponlea,-37.87590643,144.9952366,531200,465900,-65300,-0.12292921686746988
19956,Balaclava,-37.86948773,144.9935121,923000,752350,-170650,-0.18488624052004335
19957,Windsor,-37.85605308,144.9920352,714100,586800,-127300,-0.1782663492508052
19958,Prahran,-37.84951848,144.9898599,951300,879500,-71800,-0.07547566487963839
19959,South Yarra,-37.83844935,144.9923422,3151600,3199050,47450,0.015055844650336337
19960,Upfield,-37.66607779,144.9467399,284700,264250,-20450,-0.07182999648753073
19961,Gowrie,-37.700678,144.9588743,258500,232350,-26150,-0.1011605415860735
19962,Fawkner,-37.71462129,144.960545,165300,146600,-18700,-0.11312764670296431
19963,Merlynston,-37.72093389,144.9613135,296300,284100,-12200,-0.041174485318933515
19964,Batman,-37.73352285,144.9628406,257000,228750,-28250,-0.10992217898832685
19965,Coburg,-37.74234502,144.9633363,508700,511300,2600,0.00511106742677413
19966,Moreland,-37.75448484,144.961823,272400,273050,650,0.0023861967694566812
19967,Anstey,-37.76124203,144.960684,357050,365100,8050,0.022545861924100265
19968,Brunswick,-37.76772055,144.9595865,304300,350600,46300,0.1521524811041735
19969,Jewell,-37.77498702,144.9587169,315750,395350,79600,0.252098178939034
19970,Royal Park,-37.78119293,144.9523013,269450,291800,22350,0.08294674336611617
19971,Flemington Bridge,-37.78813995,144.9393233,225150,273600,48450,0.21518987341772153
19972,Macaulay,-37.79426673,144.9361663,249450,303550,54100,0.21687712968530767
19974,Clifton Hill,-37.78865745,144.9954167,709000,719300,10300,0.014527503526093088
19975,Victoria Park,-37.79915782,144.9944514,612450,659700,47250,0.07714915503306392
19976,Collingwood,-37.80452593,144.9937497,460950,487500,26550,0.05759843800846079
19977,North Richmond,-37.81039836,144.9925003,738350,608300,-130050,-0.17613597887180876
19978,West Richmond,-37.81494896,144.9914228,436500,407750,-28750,-0.06586483390607102
19983,Macleod,-37.7260123,145.0691433,469500,314850,-154650,-0.3293929712460064
19984,Watsonia,-37.71095798,145.0837934,577000,315600,-261400,-0.4530329289428076
19985,Greensborough,-37.70395408,145.1082474,588050,378250,-209800,-0.35677238330073974
19986,Montmorency,-37.71529624,145.1215157,254100,175700,-78400,-0.3085399449035813
19987,Eltham,-37.71354967,145.147822,461400,344100,-117300,-0.2542262678803641
19988,Diamond Creek,-37.67329744,145.1585062,151700,114700,-37000,-0.24390243902439024
19989,Wattle Glen,-37.66396792,145.1816145,35850,27200,-8650,-0.2412831241283124
19990,Hurstbridge,-37.63939817,145.1920169,98200,75700,-22500,-0.22912423625254583
19991,Williamstown,-37.86775292,144.9053233,132850,149500,16650,0.1253293187805796
19992,Williamstown Beach,-37.86398189,144.8944837,162050,166350,4300,0.026535020055538414
19993,North Williamstown,-37.85733348,144.8890695,289450,271600,-17850,-0.06166868198307134
19994,Newport,-37.84271757,144.8835999,1037400,1245950,208550,0.20103142471563523
19995,Spotswood,-37.83063888,144.8859335,273300,354600,81300,0.29747530186608123
19996,Yarraville,-37.81585044,144.8899337,785800,820600,34800,0.04428607788241283
19997,Seddon,-37.80900514,144.8956716,379400,416600,37200,0.09804955192409066
15351,Sunbury,-37.57909097,144.7273188,628800,691050,62250,0.09899809160305344
15353,Diggers Rest,-37.62701651,144.7199224,185050,165600,-19450,-0.1051067279113753
20000,Watergardens,-37.70112872,144.7741805,1300950,1295450,-5500,-0.004227679772473961
20001,Keilor Plains,-37.72927934,144.7937381,632200,599750,-32450,-0.051328693451439415
20002,St Albans,-37.74486131,144.8000505,963000,962650,-350,-0.00036344755970924193
20003,Ginifer,-37.75751083,144.8095734,659350,624500,-34850,-0.052855084552968834
20004,Albion,-37.77765281,144.8247036,537450,413900,-123550,-0.2298818494743697
20005,Epping,-37.65238715,145.0301217,690350,748150,57800,0.08372564641124068
20006,Lalor,-37.66585075,145.0171932,477500,494550,17050,0.03570680628272251
20007,Thomastown,-37.68033809,145.0142789,600300,595700,-4600,-0.007662835249042145
20008,Keon Park,-37.69487012,145.0118838,313250,293800,-19450,-0.06209098164405427
20009,Ruthven,-37.70789754,145.0095166,334100,289350,-44750,-0.1339419335528285
20010,Reservoir,-37.71688492,145.0069958,517550,757800,240250,0.464206356873732
20011,Regent,-37.72840277,145.0027726,399650,382700,-16950,-0.042412110596772176
20012,Preston,-37.73867424,145.000522,648650,581250,-67400,-0.10390811685808989
20013,Bell,-37.74556212,145.000155,444100,412250,-31850,-0.07171808151317272
20014,Thornbury,-37.75505179,144.9985715,544200,376150,-168050,-0.3088019110621095
20015,Croxton,-37.764101,144.9970562,281250,244250,-37000,-0.13155555555555556
20016,Northcote,-37.76986537,144.9952772,308200,293050,-15150,-0.04915639195327709
